iter	RMSE
0	390.7236709
1	378.8450126
2	365.9577745
3	356.616272
4	346.8704368
5	336.6517038
6	327.6828116
7	320.3183623
8	312.7698939
9	305.5726957
10	298.8327656
11	291.6592137
12	285.1324579
13	278.6085096
14	271.6855605
15	264.9056369
16	259.2423375
17	254.1260956
18	246.7549876
19	241.903597
20	236.6491281
21	230.6276986
22	226.1263288
23	223.9448412
24	219.1408686
25	215.5713133
26	210.1042105
27	205.1384088
28	200.4157063
29	197.282522
30	193.9036989
31	190.5840518
32	186.9944088
33	183.9675808
34	180.267993
35	177.3410387
36	173.8427423
37	170.68726
38	167.5330539
39	164.2777124
40	161.3964978
41	158.4983871
42	156.3736767
43	153.1477859
44	149.9529532
45	147.5371422
46	145.3105942
47	142.7277982
48	140.7285032
49	138.5403547
50	136.3489773
51	134.0345642
52	132.0092858
53	129.9731981
54	127.5876164
55	124.9665638
56	123.1241885
57	121.090341
58	119.1684075
59	118.006924
60	116.6885139
61	114.781788
62	113.2400698
63	111.3740667
64	110.0291222
65	108.2585699
66	106.9933781
67	105.5768253
68	103.8876084
69	102.3092046
70	101.1117285
71	99.70019857
72	98.46526588
73	97.26723997
74	96.0981388
75	94.62386013
76	93.22985049
77	91.91338479
78	90.7373995
79	89.4404048
80	88.46907777
81	87.589946
82	86.78833738
83	85.93713406
84	84.95283784
85	84.14456522
86	83.12579988
87	82.39220835
88	81.5330251
89	80.76987386
90	80.0341089
91	79.35870484
92	78.51286445
93	77.50583492
94	76.76330545
95	75.84713494
96	75.13043231
97	74.41003077
98	73.61994467
99	72.79485091
100	72.05093436
101	71.52557536
102	70.95313764
103	70.29978783
104	69.65923157
105	69.07917154
106	68.41536133
107	67.74428356
108	67.12596261
109	66.55325977
110	65.9818778
111	65.47382416
112	64.98323192
113	64.38655477
114	63.85745006
115	63.34761953
116	62.79944204
117	62.27835702
118	61.71782624
119	61.23714119
120	60.69633066
121	60.24391507
122	59.79206984
123	59.29929556
124	58.81733242
125	58.44337396
126	57.98256914
127	57.59986742
128	57.19913135
129	56.78565925
130	56.34995975
131	55.88308181
132	55.4921764
133	55.17182687
134	54.3700545
135	53.94077534
136	53.59651834
137	53.26022092
138	52.86824667
139	52.48015506
140	52.13930504
141	51.81515455
142	51.49211872
143	50.72861755
144	49.8664724
145	49.57605807
146	49.27167468
147	48.98485351
148	48.2298408
149	47.9524336
150	47.6458071
151	46.87408379
152	46.61169937
153	45.92695726
154	45.66722733
155	45.41791443
156	44.72823922
157	44.4820148
158	44.18368901
159	43.41673224
160	43.18798487
161	42.52924829
162	42.26917599
163	41.59146874
164	41.37697379
165	41.13030564
166	40.89419141
167	40.15937231
168	39.95966134
169	39.7301808
170	39.52883592
171	38.9708059
172	38.41370079
173	38.19787341
174	37.98696003
175	37.46741539
176	37.29335314
177	36.73911353
178	36.5417158
179	36.03691226
180	35.8469892
181	35.66141928
182	35.17194029
183	34.99113732
184	34.54514395
185	34.37041503
186	34.19972118
187	33.62963163
188	33.46459646
189	33.30711436
190	33.1597756
191	32.68271105
192	32.52920632
193	32.38479543
194	31.96306456
195	31.81755251
196	31.48287101
197	31.34290547
198	31.21475166
199	30.81664118
200	30.69375084
201	30.5723663
202	30.1585794
203	30.04668368
204	29.67443336
205	29.56610632
206	29.43292529
207	29.05083131
208	28.9454082
209	28.59529184
210	28.48688208
211	28.15550369
212	28.05066849
213	27.95562297
214	27.64852403
215	27.53273121
216	27.22999126
217	27.13863957
218	27.04933006
219	26.72414865
220	26.63577435
221	26.32854065
222	26.2451272
223	26.16183542
224	26.07754484
225	25.74115567
226	25.66381551
227	25.3428588
228	25.26827741
229	25.19538003
230	24.90661964
231	24.83625472
232	24.56197671
233	24.49404008
234	24.42763971
235	24.16799771
236	24.10388569
237	24.04122149
238	23.77509664
239	23.71471307
240	23.65569542
241	23.42004004
242	23.36306221
243	23.1117152
244	23.05642135
245	23.00237966
246	22.69191468
247	22.6359229
248	22.5812871
249	22.39520693
250	22.29875168
251	22.24606848
252	22.15410914
253	22.10333366
254	21.86731013
255	21.81852894
256	21.6553498
257	21.60763058
258	21.52378909
259	21.41834842
260	21.13127275
261	20.93025158
262	20.73313088
263	20.54947259
264	20.5044548
265	20.46054054
266	20.28940106
267	20.20721537
268	19.97666429
269	19.91695913
270	19.83857994
271	19.78114966
272	19.56203843
273	19.42384453
274	19.3688184
275	19.29491688
