iter	Passed	Remaining
0	60	24213
1	61	12309
2	62	8268
3	63	6297
4	63	5044
5	64	4253
6	65	3678
7	65	3223
8	66	2895
9	67	2628
10	68	2408
11	68	2230
12	69	2075
13	70	1949
14	71	1835
15	72	1741
16	73	1651
17	73	1570
18	74	1500
19	75	1434
20	76	1374
21	76	1322
22	77	1271
23	77	1217
24	78	1174
25	78	1136
26	79	1099
27	80	1068
28	81	1038
29	81	1008
30	82	980
31	82	954
32	83	933
33	84	910
34	84	885
35	85	865
36	86	846
37	86	828
38	87	810
39	88	793
40	88	777
41	89	763
42	90	748
43	91	736
44	91	721
45	92	710
46	92	696
47	93	684
48	93	673
49	94	662
50	95	652
51	96	642
52	96	633
53	97	624
54	98	615
55	98	606
56	99	598
57	100	591
58	101	584
59	101	575
60	101	566
61	102	559
62	103	553
63	103	544
64	104	536
65	104	528
66	105	523
67	105	516
68	106	510
69	106	503
70	107	496
71	107	491
72	108	486
73	109	482
74	110	477
75	110	471
76	111	466
77	111	461
78	112	456
79	112	451
80	113	445
81	113	441
82	114	436
83	115	432
84	115	428
85	116	424
86	116	419
87	116	414
88	117	410
89	117	405
90	118	401
91	118	397
92	119	393
93	119	390
94	120	387
95	121	383
96	121	380
97	122	376
98	122	373
99	123	369
100	123	366
101	123	361
102	124	357
103	124	353
104	124	350
105	125	347
106	125	344
107	126	340
108	126	338
109	126	334
110	127	330
111	127	327
112	127	324
113	127	320
114	128	317
115	128	314
116	128	311
117	129	308
118	129	306
119	129	303
120	130	301
121	131	298
122	131	295
123	131	293
124	132	290
125	132	287
126	132	284
127	132	281
128	132	279
129	133	277
130	134	275
131	134	273
132	135	271
133	135	268
134	136	267
135	136	265
136	136	262
137	137	260
138	137	258
139	138	256
140	138	254
141	139	252
142	139	251
143	140	249
144	140	247
145	141	245
146	141	243
147	142	242
148	142	240
149	143	238
150	143	237
151	144	235
152	144	233
153	145	232
154	146	231
155	146	229
156	147	227
157	147	226
158	148	224
159	148	223
160	149	221
161	149	220
162	150	218
163	151	217
164	151	215
165	152	214
166	152	213
167	153	211
168	153	210
169	154	208
170	154	207
171	155	206
172	156	204
173	156	203
174	157	202
175	158	201
176	158	199
177	159	198
178	159	197
179	160	196
180	161	194
181	161	193
182	162	192
183	163	191
184	163	190
185	164	188
186	164	187
187	165	186
188	166	185
189	166	184
190	167	183
191	167	181
192	168	180
193	169	179
194	169	178
195	170	177
196	171	176
197	171	175
198	172	174
199	173	173
200	173	171
201	174	171
202	174	169
203	175	168
204	176	167
205	176	166
206	177	165
207	177	164
208	178	163
209	179	162
210	179	161
211	180	160
212	181	158
213	181	157
214	182	156
215	183	155
216	183	154
217	184	153
218	184	152
219	185	151
220	186	150
221	186	149
222	187	148
223	187	147
224	188	146
225	189	145
226	189	144
227	190	143
228	191	142
229	192	141
230	192	140
231	193	140
232	194	139
233	194	138
234	195	137
235	196	136
236	196	135
237	197	134
238	198	133
239	198	132
240	199	131
241	200	130
242	200	129
243	201	128
244	202	127
245	202	126
246	203	126
247	204	125
248	204	124
249	205	123
250	205	122
251	206	121
252	207	120
253	207	119
254	208	118
255	208	117
256	209	116
257	209	115
258	210	114
259	211	113
260	211	112
261	212	111
262	213	110
263	213	110
264	214	109
265	215	108
266	215	107
267	216	106
268	217	105
269	217	104
270	218	103
271	218	103
272	219	102
273	220	101
274	220	100
275	221	99
276	222	98
277	223	98
278	224	97
279	225	96
280	225	95
281	226	94
282	227	93
283	227	93
284	228	92
285	228	91
286	229	90
287	230	89
288	230	88
289	231	87
290	232	87
291	233	86
292	233	85
293	234	84
294	235	83
295	235	82
296	236	82
297	237	81
298	237	80
299	238	79
300	239	78
301	239	77
302	240	76
303	241	76
304	241	75
305	242	74
306	243	73
307	243	72
308	244	72
309	245	71
310	245	70
311	246	69
312	247	68
313	248	67
314	248	67
315	249	66
316	250	65
317	251	64
318	251	63
319	252	63
320	252	62
321	253	61
322	254	60
323	255	59
324	255	59
325	256	58
326	257	57
327	257	56
328	258	55
329	259	55
330	259	54
331	260	53
332	261	52
333	262	51
334	262	50
335	263	50
336	264	49
337	264	48
338	265	47
339	266	47
340	267	46
341	267	45
342	268	44
343	268	43
344	269	43
345	270	42
346	271	41
347	271	40
348	272	39
349	273	39
350	273	38
351	274	37
352	275	36
353	275	35
354	276	35
355	277	34
356	277	33
357	278	32
358	279	31
359	279	31
360	280	30
361	281	29
362	281	28
363	282	27
364	283	27
365	283	26
366	284	25
367	285	24
368	285	24
369	286	23
370	286	22
371	287	21
372	288	20
373	288	20
374	289	19
375	290	18
376	290	17
377	291	16
378	292	16
379	293	15
380	293	14
381	294	13
382	295	13
383	295	12
384	296	11
385	297	10
386	297	10
387	298	9
388	298	8
389	299	7
390	300	6
391	300	6
392	301	5
393	302	4
394	302	3
395	303	3
396	303	2
397	304	1
398	304	0
399	305	0
